"link","course_id","course_name","term","time1"
"http://www.jhsph.edu/courses/course/23085/2015/700.640.01/nutrition-ethics-and-policy-understanding-the-ethical-issues-of-nutrition-science-politics-and-practice","700.640.01","NUTRITION ETHICS AND POLICY: UNDERSTANDING THE ETHICAL ISSUES OF NUTRITION SCIENCE, POLITICS AND PRACTICE","4th","Wednesday,  3:30-6:20pm"
"http://www.jhsph.edu/courses/course/23072/2015/700.801.01/bioethics-program-thesis-seminar","700.801.01","BIOETHICS PROGRAM THESIS SEMINAR","4th","Friday,  9:00-11:50am"
"http://www.jhsph.edu/courses/course/20819/2015/120.600.01/biochemistry-an-introductory-course-i","120.600.01","BIOCHEMISTRY -- AN INTRODUCTORY COURSE I","1st","MWF,  10:30-11:50am"
"http://www.jhsph.edu/courses/course/21774/2015/120.600.02/biochemistry-an-introductory-course-i","120.600.02","BIOCHEMISTRY -- AN INTRODUCTORY COURSE I","1st","MWF,  1:30-2:50pm"
"http://www.jhsph.edu/courses/course/20801/2015/120.602.01/introduction-to-molecular-biology","120.602.01","INTRODUCTION TO MOLECULAR BIOLOGY","1st","TuTh,  1:30-2:50pm"
"http://www.jhsph.edu/courses/course/20796/2015/120.620.01/fundamentals-of-reproductive-biology","120.620.01","FUNDAMENTALS OF REPRODUCTIVE BIOLOGY","1st","TuTh,  3:30-4:50pm"
"http://www.jhsph.edu/courses/course/20740/2015/120.800.01/mph-capstone-biochemistry-and-molecular-biology","120.800.01","MPH CAPSTONE: BIOCHEMISTRY AND MOLECULAR BIOLOGY","1st",NA
"http://www.jhsph.edu/courses/course/20774/2015/120.820.01/thesis-research-biochemistry","120.820.01","THESIS RESEARCH BIOCHEMISTRY","1st",NA
"http://www.jhsph.edu/courses/course/22193/2015/120.821.01/mhs-student-research","120.821.01","MHS STUDENT RESEARCH","1st",NA
"http://www.jhsph.edu/courses/course/20971/2015/120.822.01/seminars-in-research-in-biochemistry-and-molecular-biology","120.822.01","SEMINARS IN RESEARCH IN BIOCHEMISTRY AND MOLECULAR BIOLOGY","1st","Monday,  12:00-12:50pm"
"http://www.jhsph.edu/courses/course/20802/2015/120.830.01/postdoctoral-research-biochemistry","120.830.01","POSTDOCTORAL RESEARCH BIOCHEMISTRY","1st",NA
"http://www.jhsph.edu/courses/course/20806/2015/120.840.01/special-studies-and-research-biochemistry","120.840.01","SPECIAL STUDIES AND RESEARCH BIOCHEMISTRY","1st",NA
"http://www.jhsph.edu/courses/course/20805/2015/120.850.01/biochemical-techniques","120.850.01","BIOCHEMICAL TECHNIQUES","1st",NA
"http://www.jhsph.edu/courses/course/20762/2015/120.852.01/core-research-literature","120.852.01","CORE RESEARCH LITERATURE","1st","Tuesday,  1:30-2:50pm"
"http://www.jhsph.edu/courses/course/20965/2015/120.872.01/special-studies-current-topics-in-bmb","120.872.01","SPECIAL STUDIES-CURRENT TOPICS IN BMB","1st","WF,  12:00-12:50pm"
"http://www.jhsph.edu/courses/course/20925/2015/120.895.01/mph-practicum-biochemistry-and-molecular-biology","120.895.01","MPH PRACTICUM: BIOCHEMISTRY AND MOLECULAR BIOLOGY","1st",NA
"http://www.jhsph.edu/courses/course/21117/2015/120.601.01/biochemistry-an-introductory-course-ii","120.601.01","BIOCHEMISTRY -- AN INTRODUCTORY COURSE II","2nd","MWF,  10:30-11:50am"
"http://www.jhsph.edu/courses/course/21776/2015/120.601.02/biochemistry-an-introductory-course-ii","120.601.02","BIOCHEMISTRY -- AN INTRODUCTORY COURSE II","2nd","MWF,  1:30-2:50pm"
"http://www.jhsph.edu/courses/course/21091/2015/120.603.01/molecular-biology-of-pandemic-influenza","120.603.01","MOLECULAR BIOLOGY OF PANDEMIC INFLUENZA","2nd","TuTh,  2:00-2:50pm"
"http://www.jhsph.edu/courses/course/21330/2015/120.620.81/fundamentals-of-reproductive-biology","120.620.81","FUNDAMENTALS OF REPRODUCTIVE BIOLOGY","2nd",NA
"http://www.jhsph.edu/courses/course/21628/2015/120.626.01/principles-of-cell-biology","120.626.01","PRINCIPLES OF CELL BIOLOGY","2nd","WF,  1:30-2:50pm"
"http://www.jhsph.edu/courses/course/22195/2015/120.720.01/applying-reproductive-biology-literacy-through-service-learning","120.720.01","APPLYING REPRODUCTIVE BIOLOGY LITERACY THROUGH SERVICE-LEARNING","2nd","Monday,  9:00-10:20am"
"http://www.jhsph.edu/courses/course/21208/2015/120.800.01/mph-capstone-biochemistry-and-molecular-biology","120.800.01","MPH CAPSTONE: BIOCHEMISTRY AND MOLECULAR BIOLOGY","2nd",NA
"http://www.jhsph.edu/courses/course/21148/2015/120.820.01/thesis-research-biochemistry","120.820.01","THESIS RESEARCH BIOCHEMISTRY","2nd",NA
"http://www.jhsph.edu/courses/course/22171/2015/120.821.01/mhs-student-research","120.821.01","MHS STUDENT RESEARCH","2nd",NA
"http://www.jhsph.edu/courses/course/21311/2015/120.822.01/seminars-in-research-in-biochemistry-and-molecular-biology","120.822.01","SEMINARS IN RESEARCH IN BIOCHEMISTRY AND MOLECULAR BIOLOGY","2nd","Monday,  12:00-12:50pm"
"http://www.jhsph.edu/courses/course/21149/2015/120.830.01/postdoctoral-research-biochemistry","120.830.01","POSTDOCTORAL RESEARCH BIOCHEMISTRY","2nd",NA
"http://www.jhsph.edu/courses/course/21144/2015/120.840.01/special-studies-and-research-biochemistry","120.840.01","SPECIAL STUDIES AND RESEARCH BIOCHEMISTRY","2nd",NA
"http://www.jhsph.edu/courses/course/21142/2015/120.850.01/biochemical-techniques","120.850.01","BIOCHEMICAL TECHNIQUES","2nd",NA
"http://www.jhsph.edu/courses/course/21119/2015/120.852.01/core-research-literature","120.852.01","CORE RESEARCH LITERATURE","2nd","Tuesday,  1:30-2:50pm"
"http://www.jhsph.edu/courses/course/21252/2015/120.895.01/mph-practicum-biochemistry-and-molecular-biology","120.895.01","MPH PRACTICUM: BIOCHEMISTRY AND MOLECULAR BIOLOGY","2nd",NA
"http://www.jhsph.edu/courses/course/21944/2015/120.608.01/genomics-for-public-health","120.608.01","GENOMICS FOR PUBLIC HEALTH","3rd","TuTh,  1:30-2:50pm"
"http://www.jhsph.edu/courses/course/21697/2015/120.613.01/nucleic-acid-chemistry","120.613.01","NUCLEIC ACID CHEMISTRY","3rd","MW,  3:30-4:50pm"
"http://www.jhsph.edu/courses/course/21508/2015/120.621.01/molecular-endocrinology","120.621.01","MOLECULAR ENDOCRINOLOGY","3rd","TuTh,  3:30-4:50pm"
"http://www.jhsph.edu/courses/course/21297/2015/120.627.01/stem-cells-and-the-biology-of-aging-and-disease","120.627.01","STEM CELLS AND THE BIOLOGY OF AGING AND DISEASE","3rd","MW,  10:30-11:50am"
"http://www.jhsph.edu/courses/course/21597/2015/120.800.01/mph-capstone-biochemistry-and-molecular-biology","120.800.01","MPH CAPSTONE: BIOCHEMISTRY AND MOLECULAR BIOLOGY","3rd",NA
"http://www.jhsph.edu/courses/course/21499/2015/120.820.01/thesis-research-biochemistry","120.820.01","THESIS RESEARCH BIOCHEMISTRY","3rd",NA
"http://www.jhsph.edu/courses/course/22172/2015/120.821.01/mhs-student-research","120.821.01","MHS STUDENT RESEARCH","3rd",NA
"http://www.jhsph.edu/courses/course/21433/2015/120.822.01/seminars-in-research-in-biochemistry-and-molecular-biology","120.822.01","SEMINARS IN RESEARCH IN BIOCHEMISTRY AND MOLECULAR BIOLOGY","3rd","Monday,  12:00-12:50pm"
"http://www.jhsph.edu/courses/course/21528/2015/120.830.01/postdoctoral-research-biochemistry","120.830.01","POSTDOCTORAL RESEARCH BIOCHEMISTRY","3rd",NA
"http://www.jhsph.edu/courses/course/21477/2015/120.840.01/special-studies-and-research-biochemistry","120.840.01","SPECIAL STUDIES AND RESEARCH BIOCHEMISTRY","3rd",NA
"http://www.jhsph.edu/courses/course/21469/2015/120.850.01/biochemical-techniques","120.850.01","BIOCHEMICAL TECHNIQUES","3rd",NA
"http://www.jhsph.edu/courses/course/21530/2015/120.852.01/core-research-literature","120.852.01","CORE RESEARCH LITERATURE","3rd","Tuesday,  1:30-2:50pm"
"http://www.jhsph.edu/courses/course/21658/2015/120.860.01/special-studies-mhs-thesis-preparation","120.860.01","SPECIAL STUDIES-MHS THESIS PREPARATION","3rd",NA
"http://www.jhsph.edu/courses/course/21638/2015/120.895.01/mph-practicum-biochemistry-and-molecular-biology","120.895.01","MPH PRACTICUM: BIOCHEMISTRY AND MOLECULAR BIOLOGY","3rd",NA
"http://www.jhsph.edu/courses/course/22101/2015/120.606.01/cellular-stress-in-physiology-and-disease","120.606.01","CELLULAR STRESS IN PHYSIOLOGY AND DISEASE","4th","TuTh,  10:30-11:50am"
"http://www.jhsph.edu/courses/course/21890/2015/120.622.01/molecular-and-cellular-mechanisms-of-reproduction","120.622.01","MOLECULAR AND CELLULAR MECHANISMS OF REPRODUCTION","4th","TuTh,  3:30-4:50pm"
"http://www.jhsph.edu/courses/course/21983/2015/120.624.01/genome-integrity-and-cancer","120.624.01","GENOME INTEGRITY AND CANCER","4th","MW,  3:30-4:50pm"
"http://www.jhsph.edu/courses/course/21974/2015/120.800.01/mph-capstone-biochemistry-and-molecular-biology","120.800.01","MPH CAPSTONE: BIOCHEMISTRY AND MOLECULAR BIOLOGY","4th",NA
"http://www.jhsph.edu/courses/course/21884/2015/120.820.01/thesis-research-biochemistry","120.820.01","THESIS RESEARCH BIOCHEMISTRY","4th",NA
"http://www.jhsph.edu/courses/course/22194/2015/120.821.01/mhs-student-research","120.821.01","MHS STUDENT RESEARCH","4th",NA
"http://www.jhsph.edu/courses/course/22080/2015/120.822.01/seminars-in-research-in-biochemistry-and-molecular-biology","120.822.01","SEMINARS IN RESEARCH IN BIOCHEMISTRY AND MOLECULAR BIOLOGY","4th","Monday,  12:00-12:50pm"
"http://www.jhsph.edu/courses/course/21873/2015/120.830.01/postdoctoral-research-biochemistry","120.830.01","POSTDOCTORAL RESEARCH BIOCHEMISTRY","4th",NA
"http://www.jhsph.edu/courses/course/21861/2015/120.840.01/special-studies-and-research-biochemistry","120.840.01","SPECIAL STUDIES AND RESEARCH BIOCHEMISTRY","4th",NA
"http://www.jhsph.edu/courses/course/21870/2015/120.850.01/biochemical-techniques","120.850.01","BIOCHEMICAL TECHNIQUES","4th",NA
"http://www.jhsph.edu/courses/course/22360/2015/120.852.01/core-research-literature","120.852.01","CORE RESEARCH LITERATURE","4th","Tuesday,  1:30-2:50pm"
"http://www.jhsph.edu/courses/course/21851/2015/120.870.01/mhs-thesis-in-reproductive-and-cancer-biology","120.870.01","MHS THESIS IN REPRODUCTIVE AND CANCER BIOLOGY","4th",NA
"http://www.jhsph.edu/courses/course/22030/2015/120.871.01/bmb-scm-preparatory-independent-study-essay","120.871.01","BMB SCM PREPARATORY INDEPENDENT STUDY/ESSAY","4th",NA
"http://www.jhsph.edu/courses/course/22015/2015/120.895.01/mph-practicum-biochemistry-and-molecular-biology","120.895.01","MPH PRACTICUM: BIOCHEMISTRY AND MOLECULAR BIOLOGY","4th",NA
"http://www.jhsph.edu/courses/course/20658/2015/120.800.01/mph-capstone-biochemistry-and-molecular-biology","120.800.01","MPH CAPSTONE: BIOCHEMISTRY AND MOLECULAR BIOLOGY","Summer",NA
"http://www.jhsph.edu/courses/course/20672/2015/120.820.01/thesis-research-biochemistry","120.820.01","THESIS RESEARCH BIOCHEMISTRY","Summer",NA
"http://www.jhsph.edu/courses/course/20648/2015/120.840.01/special-studies-and-research-biochemistry","120.840.01","SPECIAL STUDIES AND RESEARCH BIOCHEMISTRY","Summer",NA
"http://www.jhsph.edu/courses/course/20655/2015/120.853.01/summer-biochemical-techniques","120.853.01","SUMMER BIOCHEMICAL TECHNIQUES","Summer",NA
"http://www.jhsph.edu/courses/course/20682/2015/120.861.01/special-topics-in-biochemistry-x-ray-crystallography-a-hands-on-workshop","120.861.01","SPECIAL TOPICS IN BIOCHEMISTRY: X-RAY CRYSTALLOGRAPHY-A HANDS ON WORKSHOP","Summer",NA
"http://www.jhsph.edu/courses/course/20814/2015/140.611.01/statistical-reasoning-in-public-health-i","140.611.01","STATISTICAL REASONING IN PUBLIC HEALTH I","1st","TuTh,  10:30-11:50am"
"http://www.jhsph.edu/courses/course/20763/2015/140.611.81/statistical-reasoning-in-public-health-i","140.611.81","STATISTICAL REASONING IN PUBLIC HEALTH I","1st",NA
"http://www.jhsph.edu/courses/course/20807/2015/140.621.01/statistical-methods-in-public-health-i","140.621.01","STATISTICAL METHODS IN PUBLIC HEALTH I","1st","TuTh,  10:30-11:50am"
"http://www.jhsph.edu/courses/course/20797/2015/140.621.02/statistical-methods-in-public-health-i","140.621.02","STATISTICAL METHODS IN PUBLIC HEALTH I","1st","TuTh,  10:30-11:50am"
"http://www.jhsph.edu/courses/course/20935/2015/140.633.81/biostatistics-in-medical-product-regulation","140.633.81","BIOSTATISTICS IN MEDICAL PRODUCT REGULATION","1st",NA
"http://www.jhsph.edu/courses/course/20896/2015/140.636.01/perl-for-bioinformatics","140.636.01","PERL FOR BIOINFORMATICS","1st","MWF,  1:30-2:20pm"
"http://www.jhsph.edu/courses/course/20950/2015/140.641.01/survival-analysis","140.641.01","SURVIVAL ANALYSIS ","1st","TuTh,  3:30-4:50pm"
"http://www.jhsph.edu/courses/course/20907/2015/140.646.01/essentials-of-probability-and-statistical-inference-i-probability","140.646.01","ESSENTIALS OF PROBABILITY AND STATISTICAL INFERENCE I: PROBABILITY","1st","TuTh,  3:30-4:50pm"
"http://www.jhsph.edu/courses/course/20816/2015/140.651.01/methods-in-biostatistics-i","140.651.01","METHODS IN BIOSTATISTICS I","1st","TuTh,  10:30-11:50am"
"http://www.jhsph.edu/courses/course/22158/2015/140.711.01/advanced-data-science-i","140.711.01","ADVANCED DATA SCIENCE I","1st","MW,  1:30-2:20pm"
"http://www.jhsph.edu/courses/course/21007/2015/140.721.01/probability-theory-i","140.721.01","PROBABILITY THEORY I","1st","TuTh,  3:30-4:20pm"
"http://www.jhsph.edu/courses/course/21003/2015/140.731.01/statistical-theory-i","140.731.01","STATISTICAL THEORY I","1st","MW,  1:30-2:50pm"
"http://www.jhsph.edu/courses/course/20775/2015/140.751.01/advanced-methods-in-biostatistics-i","140.751.01","ADVANCED METHODS IN BIOSTATISTICS I","1st","TuTh,  10:30-11:50am"
"http://www.jhsph.edu/courses/course/20940/2015/140.755.01/advanced-methods-in-biostatistics-v","140.755.01","ADVANCED METHODS IN BIOSTATISTICS V","1st","TuTh,  10:30-11:50am"
"http://www.jhsph.edu/courses/course/20868/2015/140.771.01/advanced-statistical-theory-i","140.771.01","ADVANCED STATISTICAL THEORY I","1st","TuTh,  1:30-2:50pm"
"http://www.jhsph.edu/courses/course/20937/2015/140.776.01/statistical-computing","140.776.01","STATISTICAL COMPUTING","1st","TuTh,  1:30-2:50pm"
"http://www.jhsph.edu/courses/course/20741/2015/140.800.01/mph-capstone-biostatistics","140.800.01","MPH CAPSTONE BIOSTATISTICS","1st",NA
"http://www.jhsph.edu/courses/course/20754/2015/140.820.01/thesis-research-biostatistics","140.820.01","THESIS RESEARCH BIOSTATISTICS","1st",NA
"http://www.jhsph.edu/courses/course/20757/2015/140.830.01/postdoctoral-research-biostatistics","140.830.01","POSTDOCTORAL RESEARCH BIOSTATISTICS","1st",NA
"http://www.jhsph.edu/courses/course/20853/2015/140.840.01/special-studies-and-research-biostatistics","140.840.01","SPECIAL STUDIES AND RESEARCH BIOSTATISTICS","1st",NA
"http://www.jhsph.edu/courses/course/20946/2015/140.850.01/advanced-special-topics-in-biostatistics","140.850.01","ADVANCED SPECIAL TOPICS IN BIOSTATISTICS","1st",NA
"http://www.jhsph.edu/courses/course/20926/2015/140.895.01/mph-practicum-biostatistics","140.895.01","MPH  PRACTICUM: BIOSTATISTICS","1st",NA
"http://www.jhsph.edu/courses/course/21129/2015/140.612.01/statistical-reasoning-in-public-health-ii","140.612.01","STATISTICAL REASONING IN PUBLIC HEALTH II","2nd","TuTh,  10:30-11:50am"
"http://www.jhsph.edu/courses/course/21089/2015/140.612.81/statistical-reasoning-in-public-health-ii","140.612.81","STATISTICAL REASONING IN PUBLIC HEALTH II","2nd",NA
"http://www.jhsph.edu/courses/course/21095/2015/140.622.01/statistical-methods-in-public-health-ii","140.622.01","STATISTICAL METHODS IN PUBLIC HEALTH II","2nd","TuTh,  10:30-11:50am"
"http://www.jhsph.edu/courses/course/21151/2015/140.622.02/statistical-methods-in-public-health-ii","140.622.02","STATISTICAL METHODS IN PUBLIC HEALTH II","2nd","TuTh,  10:30-11:50am"
"http://www.jhsph.edu/courses/course/21292/2015/140.630.01/introduction-to-data-management","140.630.01","INTRODUCTION TO DATA MANAGEMENT","2nd","MW,  10:30-11:50am"
"http://www.jhsph.edu/courses/course/21053/2015/140.637.01/biological-databases-and-distributed-computing","140.637.01","BIOLOGICAL DATABASES AND DISTRIBUTED COMPUTING","2nd","MWF,  1:30-2:50pm"
"http://www.jhsph.edu/courses/course/21207/2015/140.638.01/analysis-of-biological-sequences","140.638.01","ANALYSIS OF BIOLOGICAL SEQUENCES","2nd","TuTh,  3:30-4:50pm"
"http://www.jhsph.edu/courses/course/21057/2015/140.647.01/essentials-of-probability-and-statistical-inference-ii-statistical-inference","140.647.01","ESSENTIALS OF PROBABILITY AND STATISTICAL INFERENCE II: STATISTICAL INFERENCE","2nd","TuTh,  3:30-4:50pm"
"http://www.jhsph.edu/courses/course/21137/2015/140.652.01/methods-in-biostatistics-ii","140.652.01","METHODS IN BIOSTATISTICS II","2nd","TuTh,  10:30-11:50am"
"http://www.jhsph.edu/courses/course/21138/2015/140.658.01/statistics-for-psychosocial-research-structural-models","140.658.01","STATISTICS FOR PSYCHOSOCIAL RESEARCH: STRUCTURAL MODELS","2nd","MW,  10:30-11:50am"
"http://www.jhsph.edu/courses/course/22174/2015/140.712.01/advanced-data-science-ii","140.712.01","ADVANCED DATA SCIENCE II","2nd","MW,  1:30-2:20pm"
"http://www.jhsph.edu/courses/course/21350/2015/140.722.01/probability-theory-ii","140.722.01","PROBABILITY THEORY II","2nd","TuTh,  3:30-4:20pm"
"http://www.jhsph.edu/courses/course/21354/2015/140.732.01/statistical-theory-ii","140.732.01","STATISTICAL THEORY II","2nd","MW,  1:30-2:50pm"
"http://www.jhsph.edu/courses/course/21293/2015/140.741.01/advanced-survival-analysis","140.741.01","ADVANCED SURVIVAL ANALYSIS","2nd","MW,  10:30-11:50am"
"http://www.jhsph.edu/courses/course/21093/2015/140.752.01/advanced-methods-in-biostatistics-ii","140.752.01","ADVANCED METHODS IN BIOSTATISTICS II","2nd","TuTh,  10:30-11:50am"
"http://www.jhsph.edu/courses/course/21273/2015/140.756.01/advanced-methods-in-biostatistics-vi","140.756.01","ADVANCED METHODS IN BIOSTATISTICS VI","2nd","TuTh,  10:30-11:50am"
"http://www.jhsph.edu/courses/course/21082/2015/140.772.01/advanced-statistical-theory-ii","140.772.01","ADVANCED STATISTICAL THEORY II","2nd","TuTh,  1:30-2:50pm"
"http://www.jhsph.edu/courses/course/21123/2015/140.778.01/advanced-statistical-computing","140.778.01","ADVANCED STATISTICAL COMPUTING","2nd","MW,  10:30-11:50am"
"http://www.jhsph.edu/courses/course/21209/2015/140.800.01/mph-capstone-biostatistics","140.800.01","MPH CAPSTONE BIOSTATISTICS","2nd",NA
"http://www.jhsph.edu/courses/course/21178/2015/140.820.01/thesis-research-biostatistics","140.820.01","THESIS RESEARCH BIOSTATISTICS","2nd",NA
"http://www.jhsph.edu/courses/course/21069/2015/140.830.01/postdoctoral-research-biostatistics","140.830.01","POSTDOCTORAL RESEARCH BIOSTATISTICS","2nd",NA
"http://www.jhsph.edu/courses/course/21070/2015/140.840.01/special-studies-and-research-biostatistics","140.840.01","SPECIAL STUDIES AND RESEARCH BIOSTATISTICS","2nd",NA
"http://www.jhsph.edu/courses/course/21281/2015/140.850.01/advanced-special-topics-in-biostatistics","140.850.01","ADVANCED SPECIAL TOPICS IN BIOSTATISTICS","2nd",NA
"http://www.jhsph.edu/courses/course/21253/2015/140.895.01/mph-practicum-biostatistics","140.895.01","MPH  PRACTICUM: BIOSTATISTICS","2nd",NA
"http://www.jhsph.edu/courses/course/21705/2015/140.611.94/statistical-reasoning-in-public-health-i","140.611.94","STATISTICAL REASONING IN PUBLIC HEALTH I","3rd",NA
"http://www.jhsph.edu/courses/course/21516/2015/140.615.01/statistics-for-laboratory-scientists-i","140.615.01","STATISTICS FOR LABORATORY SCIENTISTS I","3rd","MWF,  10:30-11:20am"
"http://www.jhsph.edu/courses/course/21472/2015/140.623.01/statistical-methods-in-public-health-iii","140.623.01","STATISTICAL METHODS IN PUBLIC HEALTH III","3rd","TuTh,  10:30-11:50am"
"http://www.jhsph.edu/courses/course/21531/2015/140.623.02/statistical-methods-in-public-health-iii","140.623.02","STATISTICAL METHODS IN PUBLIC HEALTH III","3rd","TuTh,  10:30-11:50am"
"http://www.jhsph.edu/courses/course/21686/2015/140.631.01/the-sas-statistical-package-a-survey-for-statisticians","140.631.01","THE SAS STATISTICAL PACKAGE:  A SURVEY FOR STATISTICIANS","3rd","TuTh,  1:30-2:50pm"
"http://www.jhsph.edu/courses/course/21700/2015/140.634.81/non-inferiority-and-equivalence-clinical-trials","140.634.81","NON-INFERIORITY AND EQUIVALENCE CLINICAL TRIALS","3rd",NA
"http://www.jhsph.edu/courses/course/21504/2015/140.640.01/statistical-methods-for-sample-surveys","140.640.01","STATISTICAL METHODS FOR SAMPLE SURVEYS","3rd","Monday,  3:30-5:20pm"
"http://www.jhsph.edu/courses/course/21429/2015/140.642.01/design-of-clinical-experiments","140.642.01","DESIGN OF CLINICAL EXPERIMENTS","3rd","TuTh,  1:30-2:50pm"
"http://www.jhsph.edu/courses/course/21660/2015/140.644.01/statistical-machine-learning-methods-theory-and-applications","140.644.01","STATISTICAL MACHINE LEARNING: METHODS, THEORY, AND APPLICATIONS","3rd","MW,  10:30-11:50am"
"http://www.jhsph.edu/courses/course/21616/2015/140.648.01/essentials-of-probability-and-statistical-inference-iii-theory-of-modern-statistical-methods","140.648.01","ESSENTIALS OF PROBABILITY AND STATISTICAL INFERENCE III: THEORY OF MODERN STATISTICAL METHODS","3rd","MW,  1:30-2:50pm"
"http://www.jhsph.edu/courses/course/21474/2015/140.653.01/methods-in-biostatistics-iii","140.653.01","METHODS IN BIOSTATISTICS III","3rd","TuTh,  10:30-11:50am"
"http://www.jhsph.edu/courses/course/21496/2015/140.655.01/analysis-of-longitudinal-data","140.655.01","ANALYSIS OF LONGITUDINAL DATA","3rd","MW,  10:30-11:50am"
"http://www.jhsph.edu/courses/course/21497/2015/140.662.01/spatial-analysis-and-gis-i","140.662.01","SPATIAL ANALYSIS AND GIS I","3rd","TuTh,  1:30-2:50pm"
"http://www.jhsph.edu/courses/course/21694/2015/140.662.02/spatial-analysis-and-gis-i","140.662.02","SPATIAL ANALYSIS AND GIS I","3rd","TuTh,  3:30-4:50pm"
"http://www.jhsph.edu/courses/course/21650/2015/140.664.01/causal-inference-in-medicine-and-public-health-i","140.664.01","CAUSAL INFERENCE IN MEDICINE AND PUBLIC HEALTH I","3rd","TuTh,  10:30-11:50am"
"http://www.jhsph.edu/courses/course/21464/2015/140.673.01/introduction-to-statistical-theory-i","140.673.01","INTRODUCTION TO STATISTICAL THEORY I","3rd","TuTh,  3:30-4:50pm"
"http://www.jhsph.edu/courses/course/21333/2015/140.682.01/principles-and-methods-of-functional-neuroimaging-i","140.682.01","PRINCIPLES AND METHODS OF FUNCTIONAL NEUROIMAGING I","3rd","MW,  9:00-10:20am"
"http://www.jhsph.edu/courses/course/21850/2015/140.698.01/spatial-analysis-iii-spatial-statistics","140.698.01","SPATIAL ANALYSIS III: SPATIAL STATISTICS","3rd","TuTh,  1:30-2:50pm"
"http://www.jhsph.edu/courses/course/21733/2015/140.723.01/probability-theory-iii","140.723.01","PROBABILITY THEORY III","3rd","TuTh,  3:30-4:20pm"
"http://www.jhsph.edu/courses/course/21736/2015/140.733.01/statistical-theory-iii","140.733.01","STATISTICAL THEORY III","3rd","MW,  1:30-2:50pm"
"http://www.jhsph.edu/courses/course/21451/2015/140.753.01/advanced-methods-in-biostatistics-iii","140.753.01","ADVANCED METHODS IN BIOSTATISTICS III","3rd","TuTh,  10:30-11:50am"
"http://www.jhsph.edu/courses/course/21598/2015/140.800.01/mph-capstone-biostatistics","140.800.01","MPH CAPSTONE BIOSTATISTICS","3rd",NA
"http://www.jhsph.edu/courses/course/21548/2015/140.820.01/thesis-research-biostatistics","140.820.01","THESIS RESEARCH BIOSTATISTICS","3rd",NA
"http://www.jhsph.edu/courses/course/21547/2015/140.830.01/postdoctoral-research-biostatistics","140.830.01","POSTDOCTORAL RESEARCH BIOSTATISTICS","3rd",NA
"http://www.jhsph.edu/courses/course/21536/2015/140.840.01/special-studies-and-research-biostatistics","140.840.01","SPECIAL STUDIES AND RESEARCH BIOSTATISTICS","3rd",NA
"http://www.jhsph.edu/courses/course/21663/2015/140.850.01/advanced-special-topics-in-biostatistics","140.850.01","ADVANCED SPECIAL TOPICS IN BIOSTATISTICS","3rd",NA
"http://www.jhsph.edu/courses/course/21639/2015/140.895.01/mph-practicum-biostatistics","140.895.01","MPH  PRACTICUM: BIOSTATISTICS","3rd",NA
